/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 100 -t 10000000 -m 0.1 
Jump 16700000; time 2540162.6;   23 to   24.
Jump 16800000; time 2555267.6;   31 to   30.
Jump 16900000; time 2570602.0;    1 to    0.
Jump 17000000; time 2587435.2;   75 to   74.
Jump 17100000; time 2603940.3;   51 to   52.
Jump 17200000; time 2618125.5;   91 to   90.
Jump 17300000; time 2631459.8;   17 to   16.
Jump 17400000; time 2645231.5;   69 to   70.
Jump 17500000; time 2658983.5;   45 to   44.
Jump 17600000; time 2679479.2;   99 to   98.
Jump 17700000; time 2693948.9;   45 to   44.
Jump 17800000; time 2707160.6;   57 to   56.
Jump 17900000; time 2726873.2;   19 to   18.
Jump 18000000; time 2740550.9;   69 to   70.
Jump 18100000; time 2758414.8;   51 to   50.
Jump 18200000; time 2774460.5;   87 to   88.
Jump 18300000; time 2789987.7;   49 to   50.
Jump 18400000; time 2805391.3;    3 to    4.
Jump 18500000; time 2818971.2;   31 to   32.
Jump 18600000; time 2837287.3;   73 to   74.
Jump 18700000; time 2854261.9;   99 to  100.
Jump 18800000; time 2870323.1;    9 to    8.
Jump 18900000; time 2888027.1;   89 to   88.
Jump 19000000; time 2905677.5;   23 to   22.
Jump 19100000; time 2918223.3;   61 to   60.
Jump 19200000; time 2933095.0;   27 to   28.
Jump 19300000; time 2952860.4;   99 to   98.
Jump 19400000; time 2969649.1;   39 to   40.
Jump 19500000; time 2983545.6;   11 to   12.
Jump 19600000; time 2997163.2;   15 to   16.
Jump 19700000; time 3017321.3;   91 to   90.
Jump 19800000; time 3033439.0;   77 to   76.
Jump 19900000; time 3051213.3;    3 to    4.
Jump 20000000; time 3067286.5;    7 to    8.
Jump 20100000; time 3081153.1;   69 to   68.
Jump 20200000; time 3095645.5;   59 to   60.
Jump 20300000; time 3115629.2;   45 to   44.
Jump 20400000; time 3131931.2;   39 to   38.
Jump 20500000; time 3148099.7;   95 to   96.
Jump 20600000; time 3163435.0;    3 to    2.
Jump 20700000; time 3179015.8;    3 to    4.
Jump 20800000; time 3196263.9;   93 to   92.
Jump 20900000; time 3211781.2;   99 to   98.
Jump 21000000; time 3223868.2;   37 to   36.
Jump 21100000; time 3238941.5;    5 to    4.
Jump 21200000; time 3250773.2;   81 to   80.
Jump 21300000; time 3264678.4;   27 to   26.
Jump 21400000; time 3282577.2;   17 to   16.
Jump 21500000; time 3297458.1;    5 to    4.
Jump 21600000; time 3310942.7;   61 to   60.
Jump 21700000; time 3329946.5;   13 to   14.
Jump 21800000; time 3345424.3;   99 to   98.
Jump 21900000; time 3355500.4;   93 to   94.
Jump 22000000; time 3369593.4;   69 to   68.
Jump 22100000; time 3387574.4;   65 to   66.
Jump 22200000; time 3399444.5;   59 to   60.
Jump 22300000; time 3414155.8;   61 to   62.
Jump 22400000; time 3429112.6;   87 to   86.
Jump 22500000; time 3445625.7;   53 to   54.
Jump 22600000; time 3461458.7;   51 to   52.
Jump 22700000; time 3477410.0;   23 to   24.
Jump 22800000; time 3493089.6;   67 to   66.
Jump 22900000; time 3508633.6;   33 to   34.
Jump 23000000; time 3523797.4;   77 to   76.
Jump 23100000; time 3539071.1;    5 to    6.
Jump 23200000; time 3554240.0;   53 to   52.
Jump 23300000; time 3568152.0;   51 to   50.
Jump 23400000; time 3583442.3;    5 to    6.
Jump 23500000; time 3597068.5;   79 to   80.
Jump 23600000; time 3614411.7;   87 to   86.
Jump 23700000; time 3628712.4;   25 to   24.
Jump 23800000; time 3644897.9;   55 to   56.
Jump 23900000; time 3659357.6;   99 to  100.
Jump 24000000; time 3674587.7;   95 to   96.
Jump 24100000; time 3684816.0;   25 to   24.
Jump 24200000; time 3698003.4;   51 to   50.
Jump 24300000; time 3711335.9;   63 to   64.
Jump 24400000; time 3722391.9;   15 to   14.
Jump 24500000; time 3735696.0;   57 to   58.
Jump 24600000; time 3752514.3;   73 to   72.
Jump 24700000; time 3769919.5;    5 to    6.
Jump 24800000; time 3785768.2;   73 to   74.
Jump 24900000; time 3802695.5;    5 to    4.
Jump 25000000; time 3816858.9;   39 to   38.
Jump 25100000; time 3832473.8;   95 to   94.
Jump 25200000; time 3847628.6;   79 to   80.
Jump 25300000; time 3861401.4;   79 to   78.
Jump 25400000; time 3880182.6;   71 to   72.
Jump 25500000; time 3896309.1;    1 to    0.
Jump 25600000; time 3913512.8;   45 to   44.
Jump 25700000; time 3926655.9;   47 to   48.
Jump 25800000; time 3943615.2;   85 to   86.
Jump 25900000; time 3959109.2;    3 to    4.
Jump 26000000; time 3974580.8;   23 to   22.
Jump 26100000; time 3987063.4;   71 to   70.
Jump 26200000; time 3999792.3;   45 to   46.
Jump 26300000; time 4014040.0;    3 to    4.
Jump 26400000; time 4028575.3;   43 to   42.
Jump 26500000; time 4044307.1;    9 to    8.
Jump 26600000; time 4059559.2;    3 to    4.
Jump 26700000; time 4073220.8;   53 to   52.
Jump 26800000; time 4091048.2;   91 to   90.
Jump 26900000; time 4105971.2;   65 to   66.
Jump 27000000; time 4118785.8;   87 to   86.
Jump 27100000; time 4132133.5;   13 to   12.
Jump 27200000; time 4148594.1;   77 to   78.
Jump 27300000; time 4161246.8;   43 to   44.
Jump 27400000; time 4175000.9;   85 to   86.
Jump 27500000; time 4187071.3;   27 to   28.
Jump 27600000; time 4199169.8;   87 to   86.
Jump 27700000; time 4216859.5;    1 to    2.
Jump 27800000; time 4231627.5;    3 to    2.
Jump 27900000; time 4246849.4;   49 to   50.
Jump 28000000; time 4262532.0;   49 to   50.
Jump 28100000; time 4274081.0;   85 to   86.
Jump 28200000; time 4289083.2;    1 to    2.
Jump 28300000; time 4303120.1;   45 to   46.
Jump 28400000; time 4317919.0;   81 to   80.
Jump 28500000; time 4328809.6;   11 to   10.
Jump 28600000; time 4346136.8;   37 to   36.
Jump 28700000; time 4361143.1;   91 to   90.
Jump 28800000; time 4377536.4;   45 to   46.
Jump 28900000; time 4392176.8;    9 to    8.
Jump 29000000; time 4404959.0;   59 to   60.
Jump 29100000; time 4425102.6;   39 to   40.
Jump 29200000; time 4441514.7;   41 to   40.
Jump 29300000; time 4459151.0;   31 to   30.
Jump 29400000; time 4474134.4;   47 to   46.
Jump 29500000; time 4488067.4;   11 to   12.
Jump 29600000; time 4502428.3;   47 to   48.
Jump 29700000; time 4515399.0;   57 to   58.
Jump 29800000; time 4532402.1;   87 to   88.
Jump 29900000; time 4549045.1;   23 to   22.
Jump 30000000; time 4564716.9;   75 to   76.
Jump 30100000; time 4582086.0;   83 to   84.
Jump 30200000; time 4600160.3;   87 to   86.
Jump 30300000; time 4613884.1;    3 to    4.
Jump 30400000; time 4629814.9;   57 to   56.
Jump 30500000; time 4643880.5;   65 to   64.
Jump 30600000; time 4657913.2;   47 to   48.
Jump 30700000; time 4677618.1;   41 to   42.
Jump 30800000; time 4695413.6;   91 to   90.
Jump 30900000; time 4709138.4;   75 to   74.
Jump 31000000; time 4726780.8;   95 to   96.
Jump 31100000; time 4740330.5;   63 to   62.
Jump 31200000; time 4752760.7;   85 to   86.
Jump 31300000; time 4766289.5;   19 to   20.
Jump 31400000; time 4782642.9;   51 to   50.
Jump 31500000; time 4799025.3;   49 to   50.
Jump 31600000; time 4812697.2;   15 to   14.
Jump 31700000; time 4829236.3;   79 to   78.
Jump 31800000; time 4844589.3;   23 to   22.
Jump 31900000; time 4861581.1;   73 to   74.
Jump 32000000; time 4879136.3;    1 to    2.
Jump 32100000; time 4892645.6;   97 to   96.
Jump 32200000; time 4905261.5;   65 to   66.
Jump 32300000; time 4918130.5;   69 to   68.
Jump 32400000; time 4934130.2;    9 to   10.
Jump 32500000; time 4949278.6;   11 to   10.
Jump 32600000; time 4964186.8;   95 to   96.
Jump 32700000; time 4976481.0;   71 to   72.
Jump 32800000; time 4992058.7;   27 to   28.
Jump 32900000; time 5005156.1;   31 to   32.
Jump 33000000; time 5022385.5;   11 to   12.
Jump 33100000; time 5038508.3;   27 to   26.
Jump 33200000; time 5057141.7;   15 to   16.
Jump 33300000; time 5073242.4;   75 to   74.
Jump 33400000; time 5087747.8;   39 to   40.
Jump 33500000; time 5102053.6;   65 to   66.
Jump 33600000; time 5119507.7;   45 to   44.
Jump 33700000; time 5136590.4;   27 to   28.
Jump 33800000; time 5148042.5;   99 to  100.
Jump 33900000; time 5159484.5;   67 to   66.
Jump 34000000; time 5171921.2;   43 to   42.
Jump 34100000; time 5184044.5;   37 to   36.
Jump 34200000; time 5198613.9;   39 to   38.
Jump 34300000; time 5213090.4;   45 to   44.
Jump 34400000; time 5224106.1;   49 to   48.
Jump 34500000; time 5236859.8;   59 to   58.
Jump 34600000; time 5254659.3;   41 to   42.
Jump 34700000; time 5272198.4;   49 to   50.
Jump 34800000; time 5290755.5;    1 to    0.
Jump 34900000; time 5304265.0;   21 to   20.
Jump 35000000; time 5316674.4;   17 to   16.
Jump 35100000; time 5332358.7;   63 to   62.
Jump 35200000; time 5350978.8;   13 to   14.
Jump 35300000; time 5364678.8;   19 to   18.
Jump 35400000; time 5381294.5;   73 to   72.
Jump 35500000; time 5400374.5;   99 to  100.
Jump 35600000; time 5414376.2;   99 to   98.
Jump 35700000; time 5427717.0;    9 to    8.
Jump 35800000; time 5445611.5;   27 to   28.
Jump 35900000; time 5461328.4;   77 to   76.
Jump 36000000; time 5474582.8;   89 to   88.
Jump 36100000; time 5490499.2;   89 to   88.
Jump 36200000; time 5502893.2;   85 to   84.
Jump 36300000; time 5514990.6;   83 to   84.
Jump 36400000; time 5531856.2;   65 to   64.
Jump 36500000; time 5546897.6;   29 to   30.
Jump 36600000; time 5563100.6;   91 to   90.
Jump 36700000; time 5577763.9;    1 to    0.
Jump 36800000; time 5594173.5;   21 to   22.
Jump 36900000; time 5613503.4;   21 to   20.
Jump 37000000; time 5631404.7;   23 to   24.
Jump 37100000; time 5646865.8;   31 to   30.
Jump 37200000; time 5666460.2;   49 to   50.
Jump 37300000; time 5684330.1;   41 to   42.
Jump 37400000; time 5700332.2;   25 to   24.
Jump 37500000; time 5716956.5;   75 to   76.
Jump 37600000; time 5730578.6;   15 to   14.
Jump 37700000; time 5749276.1;   53 to   54.
Jump 37800000; time 5762613.1;    1 to    2.
Jump 37900000; time 5771473.1;   45 to   46.
Jump 38000000; time 5785764.6;   95 to   96.
Jump 38100000; time 5803161.6;   71 to   72.
Jump 38200000; time 5813688.4;   43 to   42.
Jump 38300000; time 5827834.7;   25 to   26.
Jump 38400000; time 5842922.7;   65 to   64.
Jump 38500000; time 5855859.0;   43 to   42.
Jump 38600000; time 5870955.5;   59 to   60.
Jump 38700000; time 5888152.9;   27 to   26.
Jump 38800000; time 5903963.0;   67 to   66.
Jump 38900000; time 5917775.4;   35 to   34.
Jump 39000000; time 5933693.1;   15 to   14.
Jump 39100000; time 5949383.5;   51 to   52.
Jump 39200000; time 5966165.2;   63 to   64.
Jump 39300000; time 5979896.6;   59 to   60.
Jump 39400000; time 5996336.7;   39 to   40.
Jump 39500000; time 6012853.5;   47 to   46.
Jump 39600000; time 6026167.0;   45 to   46.
Jump 39700000; time 6040899.4;   33 to   34.
Jump 39800000; time 6056298.9;   31 to   30.
Jump 39900000; time 6072612.9;   25 to   26.
Jump 40000000; time 6083150.4;   31 to   32.
Jump 40100000; time 6096389.1;   13 to   12.
Jump 40200000; time 6110918.4;   13 to   12.
Jump 40300000; time 6127495.5;   97 to   96.
Jump 40400000; time 6140109.9;   89 to   90.
Jump 40500000; time 6158941.2;   67 to   66.
Jump 40600000; time 6173963.0;   11 to   10.
Jump 40700000; time 6193696.4;   65 to   66.
Jump 40800000; time 6203204.8;   95 to   96.
Jump 40900000; time 6216248.9;   81 to   82.
Jump 41000000; time 6231717.9;   85 to   84.
Jump 41100000; time 6247549.3;   99 to   98.
Jump 41200000; time 6259354.5;   77 to   78.
Jump 41300000; time 6269693.3;    9 to   10.
Jump 41400000; time 6290934.1;   53 to   52.
Jump 41500000; time 6305071.2;   83 to   82.
Jump 41600000; time 6315280.5;   81 to   80.
Jump 41700000; time 6329637.0;   61 to   60.
Jump 41800000; time 6346497.2;   63 to   64.
Jump 41900000; time 6359074.7;   41 to   40.
Jump 42000000; time 6373079.9;   85 to   86.
Jump 42100000; time 6392781.1;   73 to   74.
Jump 42200000; time 6407606.9;   33 to   34.
Jump 42300000; time 6423866.8;   27 to   26.
Jump 42400000; time 6441846.6;   71 to   72.
Jump 42500000; time 6454382.1;    9 to    8.
Jump 42600000; time 6476867.6;   71 to   72.
Jump 42700000; time 6492874.0;   91 to   92.
Jump 42800000; time 6508683.8;   63 to   64.
Jump 42900000; time 6523155.9;   15 to   16.
Jump 43000000; time 6537432.6;   81 to   82.
Jump 43100000; time 6550859.0;   93 to   94.
Jump 43200000; time 6567653.0;   97 to   98.
Jump 43300000; time 6585695.7;   87 to   88.
Jump 43400000; time 6599168.4;   51 to   52.
Jump 43500000; time 6615112.9;   65 to   66.
Jump 43600000; time 6630840.7;   37 to   36.
Jump 43700000; time 6646365.6;    1 to    2.
Jump 43800000; time 6661613.5;   49 to   50.
Jump 43900000; time 6681317.7;    9 to   10.
Jump 44000000; time 6694891.0;   15 to   16.
Jump 44100000; time 6711011.4;   81 to   80.
Jump 44200000; time 6725920.8;    7 to    8.
Jump 44300000; time 6738562.5;   37 to   38.
Jump 44400000; time 6756864.1;   87 to   88.
Jump 44500000; time 6774965.0;   93 to   92.
Jump 44600000; time 6788520.5;   39 to   38.
Jump 44700000; time 6801085.2;   91 to   90.
Jump 44800000; time 6814750.5;    7 to    8.
Jump 44900000; time 6831210.4;   99 to  100.
Jump 45000000; time 6843960.6;    1 to    2.
Jump 45100000; time 6860014.1;   85 to   86.
Jump 45200000; time 6877298.1;   35 to   36.
Jump 45300000; time 6890245.1;   41 to   40.
Jump 45400000; time 6910367.7;   59 to   60.
Jump 45500000; time 6922716.3;   55 to   54.
Jump 45600000; time 6940020.2;   77 to   78.
Jump 45700000; time 6953165.4;   23 to   24.
Jump 45800000; time 6969198.9;   21 to   22.
Jump 45900000; time 6983303.6;   79 to   80.
Jump 46000000; time 6999593.8;   55 to   56.
Jump 46100000; time 7015707.8;   43 to   42.
Jump 46200000; time 7030892.3;   43 to   44.
Jump 46300000; time 7044352.2;   23 to   24.
Jump 46400000; time 7060102.4;   11 to   10.
Jump 46500000; time 7075649.8;   87 to   86.
Jump 46600000; time 7091607.1;   59 to   60.
Jump 46700000; time 7105201.3;    7 to    6.
Jump 46800000; time 7122238.8;    7 to    6.
Jump 46900000; time 7136034.9;   45 to   46.
Jump 47000000; time 7152064.3;   59 to   58.
Jump 47100000; time 7165885.4;   93 to   94.
Jump 47200000; time 7181173.5;   79 to   80.
Jump 47300000; time 7195008.3;    7 to    6.
Jump 47400000; time 7211967.1;   33 to   32.
Jump 47500000; time 7228316.4;   67 to   66.
Jump 47600000; time 7244303.7;   99 to   98.
Jump 47700000; time 7257289.2;   91 to   92.
Jump 47800000; time 7271412.5;   93 to   94.
Jump 47900000; time 7281642.2;   49 to   48.
Jump 48000000; time 7295949.7;   25 to   24.
Jump 48100000; time 7311080.4;   75 to   74.
Jump 48200000; time 7329619.8;    1 to    2.
Jump 48300000; time 7346738.7;   41 to   40.
Jump 48400000; time 7361173.7;   89 to   90.
Jump 48500000; time 7378033.7;   57 to   58.
Jump 48600000; time 7393860.0;   13 to   12.
Jump 48700000; time 7407213.7;   39 to   38.
Jump 48800000; time 7420930.0;   51 to   52.
Jump 48900000; time 7432212.8;   63 to   64.
Jump 49000000; time 7445426.3;   93 to   94.
Jump 49100000; time 7461407.3;   99 to  100.
