/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 1000 -t 7000000 -m 0.1 
Jump 42200000; time 754279.4;   33 to   34.
Jump 42300000; time 758562.3;   49 to   48.
Jump 42400000; time 765225.7;  261 to  262.
Jump 42500000; time 765498.7;   91 to   90.
Jump 42600000; time 770691.1;  681 to  682.
Jump 42700000; time 771047.0;  947 to  948.
Jump 42800000; time 772747.0;  901 to  902.
Jump 42900000; time 773116.6;  573 to  574.
Jump 43000000; time 773338.5;  275 to  276.
Jump 43100000; time 774895.7;  123 to  124.
Jump 43200000; time 775148.9;  473 to  474.
Jump 43300000; time 781730.8;  987 to  988.
Jump 43400000; time 786617.9;  867 to  868.
Jump 43500000; time 789016.3;  707 to  708.
Jump 43600000; time 792504.9;  893 to  892.
Jump 43700000; time 797077.8;  563 to  564.
Jump 43800000; time 797296.8;  137 to  138.
Jump 43900000; time 797754.8;   69 to   70.
Jump 44000000; time 799465.2;  185 to  186.
Jump 44100000; time 801970.9;  513 to  512.
Jump 44200000; time 804744.4;  889 to  890.
Jump 44300000; time 805910.4;  683 to  684.
Jump 44400000; time 807976.1;  265 to  266.
Jump 44500000; time 808223.8;  807 to  806.
Jump 44600000; time 808617.2;  785 to  784.
Jump 44700000; time 810717.2;  991 to  990.
Jump 44800000; time 814113.8;  801 to  802.
Jump 44900000; time 816547.1;  955 to  956.
Jump 45000000; time 820222.1;  839 to  840.
Jump 45100000; time 823914.7;  751 to  752.
Jump 45200000; time 826195.4;  779 to  780.
Jump 45300000; time 826503.2;  357 to  356.
Jump 45400000; time 830321.7;  959 to  960.
Jump 45500000; time 834877.1;  833 to  832.
Jump 45600000; time 835114.9;  427 to  428.
Jump 45700000; time 836498.7;   71 to   72.
Jump 45800000; time 845717.5;   21 to   22.
Jump 45900000; time 848780.2;  495 to  496.
Jump 46000000; time 849014.2;  393 to  394.
Jump 46100000; time 849222.6;  533 to  532.
Jump 46200000; time 849519.1;   63 to   64.
Jump 46300000; time 851376.3;  169 to  170.
Jump 46400000; time 853131.6;  145 to  144.
Jump 46500000; time 853487.0;  151 to  150.
Jump 46600000; time 855156.3;  249 to  250.
Jump 46700000; time 855378.2;  491 to  490.
Jump 46800000; time 855596.3;  179 to  178.
Jump 46900000; time 857885.1;  393 to  394.
Jump 47000000; time 858095.6;  771 to  770.
Jump 47100000; time 860116.6;  737 to  738.
Jump 47200000; time 860347.8;  673 to  674.
Jump 47300000; time 860566.3;  483 to  482.
Jump 47400000; time 860782.9;  479 to  478.
Jump 47500000; time 862658.3;  367 to  366.
